DATAFLOW,LAST UPDATE,freq,incsrc,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IE,1995,6567,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IE,1996,8247,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IE,1997,8741,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IE,1998,9161,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IE,1999,8835,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IE,2000,7423,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IE,2001,8688,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IT,1995,7090,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IT,1996,7293,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IT,1997,4958,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IT,1998,8449,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IT,1999,11233,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IT,2000,6197,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,IT,2001,6714,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,LU,1997,36565,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,LU,1998,33416,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,LU,1999,35697,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,LU,2000,41051,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,LU,2001,40545,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,NL,1995,9706,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,NL,1996,7260,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,NL,1997,6701,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,NL,1998,9615,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,NL,1999,9076,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,NL,2000,9979,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,NAC,NL,2001,8600,
