dates,values,% full,status,Max Storage,country
30/06/2022,148.5372,61.22,E,242.6456,DE
30/06/2022,27.174,40.14,C,67.7027,HU
30/06/2022,113.9375,58.9,C,193.4434,IT
30/06/2022,9.7895,44.91,C,21.8,LV
30/06/2022,75.1141,54.04,C,138.9911,NL
30/06/2022,35.4789,97.44,C,36.4103,PL
30/06/2022,3.6795,100,C,3.57,PT
30/06/2022,14.0466,42.83,C,32.7936,RO
30/06/2022,21.5497,59.78,C,36.0476,SK
30/06/2022,25.4565,72.22,C,35.2503,ES
30/06/2022,0.039,39.16,C,0.0996,SE
30/06/2022,65.7004,20.25,C,324.3741,UA
30/06/2022,646.2322,58.32,E,1108.1444,eu
29/06/2022,42.8901,44.91,C,95.5024,AT
29/06/2022,5.0865,58.46,C,8.701,BE
29/06/2022,2.0256,34.91,C,5.8025,BG
29/06/2022,1.4448,30.27,C,4.7725,HR
29/06/2022,30.0787,68.71,C,43.7739,CZ
29/06/2022,7.296,79.05,C,9.23,DK
29/06/2022,81.682,62.06,C,131.6078,FR
29/06/2022,148.0918,61.03,E,242.6456,DE
29/06/2022,27.2633,40.27,C,67.7027,HU
29/06/2022,113.0186,58.42,C,193.4434,IT
29/06/2022,9.7308,44.64,C,21.8,LV
29/06/2022,74.6797,53.73,C,138.9911,NL
